,loss,mse,val_loss,val_mse
0,151.36410522460938,150.99456787109375,2.521775245666504,2.1419484615325928
1,1.804018497467041,1.4242570400238037,1.8498228788375854,1.4708871841430664
2,1.3242390155792236,0.947035014629364,1.7699940204620361,1.394763469696045
3,1.046745777130127,0.6739659905433655,1.5209840536117554,1.1508684158325195
4,0.8388065099716187,0.47219857573509216,1.1861361265182495,0.8236043453216553
5,0.7504753470420837,0.3931055963039398,1.2041953802108765,0.8524537086486816
6,0.6826065182685852,0.3373629152774811,1.269956350326538,0.931736171245575
7,0.6274003982543945,0.29658132791519165,1.3566457033157349,1.0335396528244019
8,0.5882927775382996,0.2733832597732544,1.2998721599578857,0.9931844472885132
9,0.544362485408783,0.24624022841453552,1.0747272968292236,0.7852118015289307
10,0.5098428726196289,0.22886362671852112,1.2313677072525024,0.9588751792907715
11,0.4784349501132965,0.21422776579856873,1.2091997861862183,0.9531807899475098
12,0.4470696449279785,0.19892378151416779,1.0390959978103638,0.7987043261528015
13,0.4176330268383026,0.18473532795906067,1.0687044858932495,0.8431332111358643
14,0.3957988917827606,0.1771688014268875,0.980470597743988,0.7686944603919983
15,0.36966899037361145,0.16427728533744812,0.8769487142562866,0.6779220700263977
16,0.3394264876842499,0.14638176560401917,1.0472939014434814,0.860288679599762
17,0.3251971900463104,0.14365684986114502,0.9265210628509521,0.7502899169921875
18,0.30578628182411194,0.1347126066684723,0.8851789236068726,0.7191187739372253
19,0.28715676069259644,0.125886008143425,0.8975950479507446,0.7410089373588562
20,0.2735835611820221,0.12133005261421204,0.8209868669509888,0.6729618310928345
21,0.2565414011478424,0.11249826103448868,0.8484731316566467,0.7083457708358765
22,0.24422623217105865,0.10788857191801071,1.00989830493927,0.8772202134132385
23,0.22775544226169586,0.09853263199329376,0.9456027746200562,0.8197454214096069
24,0.22165612876415253,0.09914695471525192,0.7034172415733337,0.584082841873169
25,0.20525041222572327,0.08897458016872406,0.6886153817176819,0.5753506422042847
26,0.2017672210931778,0.09134804457426071,0.7158104777336121,0.6080635190010071
27,0.18904823064804077,0.08395462483167648,0.6902649998664856,0.5877656936645508
28,0.18088002502918243,0.08083434402942657,0.7963142991065979,0.6987159848213196
29,0.1759241223335266,0.08058615028858185,0.6744246482849121,0.5813306570053101
30,0.16422872245311737,0.07325051724910736,0.682876706123352,0.5939916968345642
31,0.15788081288337708,0.07098531723022461,0.6735464334487915,0.5885875225067139
32,0.15159668028354645,0.06847204267978668,0.6434631943702698,0.5620788931846619
33,0.1433316469192505,0.06366223096847534,0.6166524291038513,0.5387027263641357
34,0.13592955470085144,0.05964148789644241,0.6079902052879333,0.5333251357078552
35,0.13205890357494354,0.05894855409860611,0.6009865403175354,0.5294402837753296
36,0.12630601227283478,0.05624976009130478,0.6095766425132751,0.5409858822822571
37,0.12351343780755997,0.05630950629711151,0.6598202586174011,0.5940008759498596
38,0.11635900288820267,0.05181554704904556,0.5468067526817322,0.48352310061454773
39,0.11429721862077713,0.05227566882967949,0.5463619232177734,0.4855509400367737
40,0.10772444307804108,0.04808664321899414,0.6011988520622253,0.5427457690238953
41,0.10634531825780869,0.04900165647268295,0.6186625957489014,0.5623967051506042
42,0.10358835011720657,0.04836001247167587,0.5254833102226257,0.47130268812179565
43,0.10124851763248444,0.04801751300692558,0.5462560057640076,0.4939572215080261
44,0.09570598602294922,0.04433012753725052,0.4840632379055023,0.433595210313797
45,0.09486430883407593,0.04529920592904091,0.45844683051109314,0.4097033143043518
46,0.08974140882492065,0.041874323040246964,0.45855963230133057,0.4114997088909149
47,0.0893973708152771,0.04317711293697357,0.4140235185623169,0.36856594681739807
48,0.08499046415090561,0.040284283459186554,0.4434233009815216,0.39945128560066223
49,0.08488515764474869,0.04160447046160698,0.4545648992061615,0.41200345754623413
50,0.08429927378892899,0.042388271540403366,0.4548121690750122,0.41353583335876465
51,0.07876648753881454,0.03812125325202942,0.4592546224594116,0.41923201084136963
52,0.07988753914833069,0.040461353957653046,0.44308874011039734,0.40428870916366577
53,0.07546927034854889,0.03718689829111099,0.3755992650985718,0.3378604054450989
54,0.07460718601942062,0.0374426506459713,0.33866193890571594,0.3020477592945099
55,0.0715823695063591,0.03549504280090332,0.35128650069236755,0.3157255947589874
56,0.07090228796005249,0.03585173189640045,0.3477107584476471,0.3131811320781708
57,0.06791232526302338,0.03383610025048256,0.3516567051410675,0.31806278228759766
58,0.06989476084709167,0.03676244243979454,0.30003222823143005,0.2673657536506653
59,0.06689635664224625,0.034646935760974884,0.3002423346042633,0.26843205094337463
60,0.0636410042643547,0.032233525067567825,0.30907195806503296,0.2780800759792328
61,0.06399910897016525,0.0334010049700737,0.28217488527297974,0.25198033452033997
62,0.060794953256845474,0.030995219945907593,0.28695738315582275,0.2575320601463318
63,0.061959460377693176,0.03291096165776253,0.25913164019584656,0.2304530292749405
64,0.059289295226335526,0.030967842787504196,0.26550427079200745,0.23753339052200317
65,0.06014145910739899,0.032505251467227936,0.26716241240501404,0.2398390769958496
66,0.05686388164758682,0.029880408197641373,0.2739834487438202,0.2473221719264984
67,0.05797842890024185,0.03163997828960419,0.25866076350212097,0.23262538015842438
68,0.05544251203536987,0.029719490557909012,0.26174822449684143,0.23632322251796722
